session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
hikvixuh,6,k4ijpaz2,8,captcha_quiz_a,Transcribe,1643056329,2,0,0
hikvixuh,12,garvooob,1,start_1,MyPage,1643056331,1,0,0
hikvixuh,7,wqiotvd0,20,captcha_quiz_a,Transcribe,1643056332,8,0,0
hikvixuh,1,1psi9n3s,62,captcha_quiz_a,Transcribe,1643056334,29,0,0
hikvixuh,8,qsnw5xbp,6,captcha_quiz_a,Transcribe,1643056335,1,0,0
hikvixuh,6,k4ijpaz2,10,captcha_quiz_a,Transcribe,1643056336,3,0,0
hikvixuh,7,wqiotvd0,22,captcha_quiz_a,Transcribe,1643056336,9,0,0
hikvixuh,13,m4zsf2pd,0,,InitializeParticipant,1643056337,1,0,0
hikvixuh,2,q3vvrggo,14,captcha_quiz_a,Transcribe,1643056337,5,0,0
hikvixuh,3,00pvomse,46,captcha_quiz_a,Transcribe,1643056338,21,0,0
hikvixuh,1,1psi9n3s,64,captcha_quiz_a,Transcribe,1643056339,30,0,0
hikvixuh,7,wqiotvd0,24,captcha_quiz_a,Transcribe,1643056341,10,0,0
hikvixuh,2,q3vvrggo,16,captcha_quiz_a,Transcribe,1643056342,6,0,0
hikvixuh,8,qsnw5xbp,8,captcha_quiz_a,Transcribe,1643056342,2,0,0
hikvixuh,14,4aj23ncq,0,,InitializeParticipant,1643056343,1,0,0
hikvixuh,3,00pvomse,48,captcha_quiz_a,Transcribe,1643056345,22,0,0
hikvixuh,7,wqiotvd0,26,captcha_quiz_a,Transcribe,1643056346,11,0,0
hikvixuh,14,4aj23ncq,1,start_1,MyPage,1643056347,1,0,0
hikvixuh,10,a6tv4yc9,2,start,GBAT,1643056347,1,0,1
hikvixuh,11,haot0ifr,2,start,GBAT,1643056347,1,0,1
hikvixuh,12,garvooob,2,start,GBAT,1643056347,1,0,1
hikvixuh,14,4aj23ncq,2,start,GBAT,1643056347,1,0,1
hikvixuh,13,m4zsf2pd,1,start_1,MyPage,1643056347,1,0,0
hikvixuh,2,q3vvrggo,18,captcha_quiz_a,Transcribe,1643056348,7,0,0
